"","id","Influence","Implementation","Creativity","Friends","Advice","Flexibility"
"1",1,0.272727272727273,0.333333333333333,0.176470588235294,0.2,0.333333333333333,0.85879773408334
"2",2,0.363636363636364,0.555555555555556,0.176470588235294,0.466666666666667,0.222222222222222,1
"3",3,0,0,0.117647058823529,0.2,0.0555555555555556,0.595203591942722
"4",4,0.0454545454545455,0.0555555555555556,0.0588235294117647,0.133333333333333,0.111111111111111,0.833333333333333
"5",5,0.181818181818182,0.166666666666667,0.117647058823529,0.333333333333333,0.5,0
"6",6,0.272727272727273,0.5,0.411764705882353,0.4,0.111111111111111,0.645293221000171
"7",7,0.772727272727273,0.722222222222222,1,0.533333333333333,0,0.833333333333333
"8",8,0.181818181818182,0.222222222222222,0.176470588235294,0.0666666666666667,0.111111111111111,0.817425814164945
"9",9,0.227272727272727,0.222222222222222,0.176470588235294,0.333333333333333,0.222222222222222,0.913933703417613
"10",10,0.181818181818182,0.166666666666667,0.176470588235294,0.266666666666667,0.0555555555555556,0.532960954469947
"11",11,0.181818181818182,0.277777777777778,0.117647058823529,0.266666666666667,0.444444444444444,0
"12",12,0.0909090909090909,0.166666666666667,0.117647058823529,0.466666666666667,0.166666666666667,0.54495054277663
"13",13,0.136363636363636,0.222222222222222,0.294117647058824,0.4,0.166666666666667,1
"14",14,0.363636363636364,0.555555555555556,0.411764705882353,0.666666666666667,0.5,NA
"15",15,0.181818181818182,0.277777777777778,0.294117647058824,0.133333333333333,0.166666666666667,1
"16",16,0.181818181818182,0.277777777777778,0.235294117647059,0.333333333333333,0.166666666666667,0.817425814164945
"17",17,0.272727272727273,0.388888888888889,0.176470588235294,0.8,0.833333333333333,0.477218905445059
"18",18,0.227272727272727,0.388888888888889,0.235294117647059,0.4,0.166666666666667,1
"19",19,0.545454545454545,0.722222222222222,0.764705882352941,0.666666666666667,1,0.484402225244017
"20",20,0.681818181818182,0.611111111111111,0.705882352941177,0.466666666666667,0.111111111111111,0.611111111111111
"21",21,1,0.833333333333333,0.882352941176471,0.666666666666667,0.5,0.54495054277663
"22",22,0.454545454545455,0.611111111111111,0.352941176470588,0.533333333333333,0.944444444444444,0.533333333333333
"23",23,0.272727272727273,0.277777777777778,0.117647058823529,0.2,0.555555555555556,0.722222222222222
"24",24,0.227272727272727,0.277777777777778,0.352941176470588,0.266666666666667,0.277777777777778,0.615365486303266
"25",25,0.318181818181818,0.611111111111111,0.470588235294118,0.533333333333333,0.166666666666667,0.428536925276056
"26",26,0.181818181818182,0.333333333333333,0.235294117647059,0.333333333333333,0.444444444444444,0.833333333333333
"27",27,0.0454545454545455,0.111111111111111,0.0588235294117647,0,0.0555555555555556,0.211584138583382
"28",28,0.227272727272727,0.111111111111111,0.470588235294118,0.466666666666667,0.222222222222222,0.939141938054982
"29",29,0.227272727272727,0.444444444444444,0.294117647058824,0.6,0.277777777777778,0.925464400750007
"30",30,0.772727272727273,0.722222222222222,0.647058823529412,0.0666666666666667,0.444444444444444,0.833333333333333
"31",31,0.0454545454545455,0.277777777777778,0.0588235294117647,0.2,0.111111111111111,0.611111111111111
"32",32,0.0909090909090909,0.166666666666667,0.0588235294117647,0.333333333333333,0.277777777777778,0.939141938054982
"33",33,0.5,1,0.941176470588235,1,0.833333333333333,0.944444444444444
"34",34,0.590909090909091,0,0.117647058823529,0.0666666666666667,0.888888888888889,0.944444444444444
"35",35,0.0909090909090909,0.111111111111111,0.294117647058824,0.333333333333333,0.222222222222222,0.48990108555326
"36",36,0,0,0.117647058823529,0.2,0.222222222222222,0.333333333333333
